student_id,math_score,reading_score,writing_score,study_hours,attendance,grade,school_type
1,85,78,80,5.5,92,B,public
2,92,88,91,7.0,97,A,private
3,74,70,72,4.0,85,C,public
4,98,95,97,8.5,99,A,private
5,61,65,63,2.5,78,D,public
6,88,82,85,6.0,94,B,private
7,76,72,74,4.5,87,C,public
8,94,91,93,8.0,98,A,private
9,69,67,68,3.0,82,C,public
10,81,79,82,5.0,90,B,public
11,97,94,96,9.0,99,A,private
12,72,68,70,3.5,84,C,public
13,86,83,87,6.5,95,B,private
14,63,62,61,2.0,76,D,public
15,90,87,89,7.5,96,A,private
16,78,74,76,4.5,88,C,public
17,95,92,94,8.5,98,A,private
18,67,65,66,3.0,80,D,public
19,83,80,84,5.5,91,B,public
20,99,97,98,9.5,100,A,private
21,71,69,70,3.5,85,C,public
22,87,84,86,6.0,94,B,private
23,64,61,63,2.5,77,D,public
24,93,90,92,8.0,97,A,private
25,79,75,78,5.0,89,B,public
26,96,93,95,9.0,99,A,private
27,66,64,65,2.5,79,D,public
28,82,78,81,5.5,91,B,public
29,91,88,90,7.5,97,A,private
30,75,71,73,4.0,86,C,public
